City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,62.38,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Rikitea,PF,71.33,few clouds,-23.1203,-134.9692,People ThankYou
13,Bethel,US,60.66,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
14,Vilhena,BR,66.6,overcast clouds,-12.7406,-60.1458,Hotel Mirage
20,Busselton,AU,60.39,few clouds,-33.65,115.3333,Observatory Guest House
25,Ponta Do Sol,PT,73.0,few clouds,32.6667,-17.1,Hotel do Campo
26,Kutum,SD,74.98,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
30,Powell River,CA,65.34,clear sky,49.8496,-124.5361,Rodmay Hotel
34,Sorrento,IT,64.65,overcast clouds,40.626,14.3744,Hilton Sorrento Palace
38,Christchurch,NZ,62.47,clear sky,-43.5333,172.6333,The George
42,Pacific Grove,US,61.25,overcast clouds,36.6177,-121.9166,Lovers Point Inn
46,Lata,PT,61.81,clear sky,40.1629,-8.3327,Casa Maquia
48,Hervey Bay,AU,72.59,few clouds,-25.2986,152.8535,Shelly Bay Resort
52,Chokwe,MZ,70.79,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
54,Xai-Xai,MZ,71.51,overcast clouds,-25.0519,33.6442,Complexo da Familia
57,Nikki,BJ,70.38,light rain,9.9401,3.2108,Monnon
60,Westport,US,64.44,overcast clouds,41.1415,-73.3579,The Westport Inn
61,Arraial Do Cabo,BR,72.34,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
68,Korla,CN,63.03,clear sky,41.7597,86.1469,Gulisitan Hotel
71,Salinas,US,64.0,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
72,Vao,NC,72.5,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
75,Tripoli,LY,71.2,clear sky,32.8752,13.1875,Al Waddan Hotel
78,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Hasaki,JP,70.21,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
85,Mataura,NZ,62.35,scattered clouds,-46.1927,168.8643,Ellie's Villa
86,Lagodekhi,GE,61.7,overcast clouds,41.8268,46.2767,Lile Guest House
90,Puerto Baquerizo Moreno,EC,67.59,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
93,Esperance,AU,65.14,overcast clouds,-33.8667,121.9,Hospitality Esperance
96,Carballo,ES,62.29,overcast clouds,43.213,-8.691,Pazo do Souto
100,Bam,IR,70.23,clear sky,29.106,58.357,Bam Tourist Hotel
104,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
107,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
108,Laurel,US,63.86,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
113,Stephenville,US,74.19,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
114,Praia Da Vitoria,PT,68.76,broken clouds,38.7333,-27.0667,Hotel Branco I
115,Yulara,AU,71.67,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
117,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Capim Grosso,BR,71.89,clear sky,-11.3811,-40.0128,Hotel Veloso
119,Pisco,PE,60.03,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
121,Gusau,NG,73.56,overcast clouds,12.1628,6.6614,GUEST INN
123,Aksu,CN,60.15,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
129,Buraydah,SA,73.85,clear sky,26.326,43.975,Mövenpick Qassim
138,Umkomaas,ZA,63.68,overcast clouds,-30.2067,30.7978,The Norwegian Lodge
145,Ribeira Grande,PT,70.84,few clouds,38.5167,-28.7,Quinta da Meia Eira
159,Maceio,BR,72.84,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
164,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
168,Saurimo,AO,63.77,scattered clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
173,Quelimane,MZ,74.12,scattered clouds,-17.8786,36.8883,Hotel Flamingo
175,Mandurah,AU,60.76,clear sky,-32.55,115.7,Atrium Hotel Mandurah
179,Dentsville,US,65.68,clear sky,34.064,-80.9582,Columbia Northeast Hotel
185,Batemans Bay,AU,62.1,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
196,Kashi,CN,61.36,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
199,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
201,Presidencia Roque Saenz Pena,AR,60.73,clear sky,-26.7852,-60.4388,Hotel Gualok
206,Umri,IN,73.13,moderate rain,26.5106,78.9367,Shivam Ojha Umari
207,Choctaw,US,64.94,few clouds,35.4976,-97.2689,Woodland Hills Mobile Home Prk
209,Los Llanos De Aridane,ES,69.55,overcast clouds,28.6585,-17.9182,Valle Aridane
213,East London,ZA,62.91,broken clouds,-33.0153,27.9116,Tu Casa
218,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
220,Kasongo,CD,68.11,overcast clouds,-4.45,26.6667,Guest Hôtel
221,Naze,JP,74.07,overcast clouds,28.3667,129.4833,Shishime Hotel
223,Cidreira,BR,60.94,broken clouds,-30.1811,-50.2056,Hotel Castelo
224,Anzio,IT,67.32,overcast clouds,41.4853,12.6179,Hotel Lido Garda
225,Camapua,BR,68.23,overcast clouds,-19.5314,-54.0439,Comercial Estrela
226,Guerrero Negro,MX,71.11,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
227,Mapimi,MX,66.06,scattered clouds,25.8167,-103.85,Propiedad Lldm
229,Bereda,ES,60.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
230,Camopi,GF,70.63,scattered clouds,3.1655,-52.3158,La pousada
233,Freeport,US,64.65,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
241,Da Lat,VN,73.9,heavy intensity rain,11.9465,108.4419,YK Home Villa Dalat
244,Qujing,CN,64.08,overcast clouds,25.4833,103.7833,Yulong Hotel
245,Burien,US,67.93,clear sky,47.4704,-122.3468,Red Roof Inn Seattle Airport - SEATAC
253,San Luis,AR,64.78,clear sky,-33.295,-66.3356,Huarpes Hotel
256,Mogok,MM,72.16,clear sky,22.9167,96.5,MOGOK HILL HOTEL
262,Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
268,Arys,KZ,62.38,overcast clouds,42.4252,68.795,Gostinitsa
269,Coruripe,BR,74.39,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
270,Porto Walter,BR,71.85,overcast clouds,-8.2686,-72.7439,Hotel Silva
276,Sidi Ali,DZ,71.2,overcast clouds,36.0998,0.4206,Khaled
285,Adwa,ET,60.53,scattered clouds,14.1646,38.8955,Maay Assa Hotel
294,Puerto Ayacucho,VE,74.91,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
295,Baoying,CN,66.25,overcast clouds,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
301,Asfi,MA,68.34,broken clouds,32.2994,-9.2372,Hôtel Abda
303,Dalbandin,PK,66.83,clear sky,28.8947,64.4101,Sanjrani House
304,Seoul,KR,63.84,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
306,Dod Ballapur,IN,71.44,broken clouds,13.2919,77.5431,OYO 40115 J P Palace
309,Ahipara,NZ,60.22,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
326,Nkhotakota,MW,70.34,clear sky,-12.9274,34.2961,Sitima Inn
333,Sambava,MG,68.95,broken clouds,-14.2667,50.1667,Melrose
335,Takoradi,GH,74.77,broken clouds,4.8845,-1.7554,Raybow International Hotel
344,Lagoa,PT,69.6,overcast clouds,39.05,-27.9833,Casa Das Faias
349,Khani,GE,60.37,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
350,Koungou,YT,71.31,clear sky,-12.7336,45.2042,Villa Netibor
352,Lumby,CA,62.19,overcast clouds,50.2498,-118.969,Twin Creeks Motel
357,Alta Floresta,BR,69.94,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
360,San Quintin,MX,70.02,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
371,Portland,US,74.25,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
374,Namibe,AO,65.75,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
375,Flinders,AU,68.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
385,Soto La Marina,MX,70.77,overcast clouds,23.7667,-98.2167,Hotel Chicago
399,Half Moon Bay,US,72.88,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
400,Russell,US,71.2,clear sky,32.3502,-85.1999,Macs
410,Mbanza-Ngungu,CD,68.47,overcast clouds,-5.25,14.8667,Hotel Full Business
415,Bibiani,GH,70.63,overcast clouds,6.4635,-2.3194,Rodick Hotel
416,Alice Springs,AU,71.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
418,Rolante,BR,62.04,clear sky,-29.6506,-50.5758,Hotel Tadiotto
420,Chimbote,PE,61.16,broken clouds,-9.0853,-78.5783,Hotel Briliá
421,Bardiyah,LY,68.99,clear sky,31.7561,25.0865,بورتو بردية
429,Magan,ES,64.53,clear sky,39.9683,-3.931,Hotel Pattaya
431,Garowe,SO,74.08,broken clouds,8.4054,48.4845,Curubo Hotel
438,Luziania,BR,71.29,overcast clouds,-16.2525,-47.9503,HOTEL SARON
439,Santiago Del Estero,AR,74.26,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
440,Maymyo,MM,73.02,broken clouds,22.0333,96.4667,Tiger Hotel
443,Lamar,US,73.36,clear sky,33.6668,-95.5836,Kings Inn Paris TX
448,Ghanzi,BW,69.93,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
451,Hwange,ZW,71.15,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
452,Dubbo,AU,60.93,light rain,-32.25,148.6167,Quality Inn Dubbo International
454,Miandrivazo,MG,74.39,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
456,Hualmay,PE,61.32,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
457,Saint-Leu,RE,71.31,broken clouds,-21.15,55.2833,La Caz Oceane
458,Coxim,BR,72.9,overcast clouds,-18.5067,-54.76,Rancho Da Curica
459,Cuamba,MZ,67.1,clear sky,-14.8031,36.5372,Hotel Vision
460,Schaffhausen,CH,60.51,overcast clouds,47.6973,8.6349,Hohberg Restaurant & Hotel
466,Yuanping,CN,63.72,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
467,Bend,US,67.86,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
481,Sassandra,CI,74.03,light rain,4.95,-6.0833,la terrasse
483,Kitgum,UG,65.44,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
488,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
496,Huarmey,PE,61.54,broken clouds,-10.0681,-78.1522,Hotel Miramar
499,Ponta Delgada,PT,72.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
501,Katsuura,JP,69.08,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
504,Nantucket,US,64.51,clear sky,41.2835,-70.0995,Jared Coffin House
506,Yola,NG,71.46,overcast clouds,9.2,12.4833,Muna Hotel
507,Kijang,KR,71.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
511,Saint-Pierre,RE,71.91,few clouds,-21.3393,55.4781,Alize Plage
513,Surt,LY,72.21,few clouds,31.2089,16.5887,فندق المدينة
519,Sechura,PE,63.61,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
521,Feira De Santana,BR,70.12,clear sky,-12.2667,-38.9667,Hotel Paraiso
523,Xuddur,SO,69.42,overcast clouds,4.1213,43.8894,Banjanay Hotel
526,Conceicao Do Almeida,BR,68.95,few clouds,-12.7794,-39.17,Pousada Caldas e Andrada
527,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
531,College Place,US,70.56,clear sky,46.0493,-118.3883,"Holiday Inn Express Walla Walla, an IHG Hotel"
532,Planaltina,BR,66.99,overcast clouds,-15.4528,-47.6142,Afrodite Motel Planaltina GO
535,Guarapari,BR,73.24,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
542,Mao,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
545,Winslow,US,64.58,few clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
548,Yarmouth,US,63.07,clear sky,41.7057,-70.2286,Blue Rock Resort
554,Rome,US,66.9,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
556,Barcelona,ES,67.32,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
558,Kuruman,ZA,64.04,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
559,Ulundi,ZA,60.15,broken clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
561,Zhuanghe,CN,63.64,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
562,Capelinha,BR,66.27,broken clouds,-17.6914,-42.5158,Marinho Plaza Hotel
564,Paita,PE,63.23,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
568,Mandera,KE,74.97,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
571,Buenos Aires,AR,70.99,light rain,-34.6132,-58.3772,Hotel NH Buenos Aires City
575,Gat,IL,69.4,clear sky,31.61,34.7642,OlusHome
582,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
585,Zaragoza,ES,65.01,scattered clouds,41.6561,-0.8773,Hotel Goya
588,Maryville,US,63.27,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
593,Vazante,BR,64.6,overcast clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
599,Tateyama,JP,73.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
603,Erzin,TR,67.21,scattered clouds,36.9559,36.2,Artemis Otel
605,Hongjiang,CN,60.13,overcast clouds,27.11,109.9956,洪江大酒店
610,Muroto,JP,70.23,overcast clouds,33.2833,134.15,Oota Ryokan
614,Setubal,PT,62.1,clear sky,38.5244,-8.8882,Luna Esperanca Centro Hotel
617,Vangaindrano,MG,64.45,clear sky,-23.35,47.6,Hotel Fanilo
620,Tabas,IR,61.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
623,Mayo,US,64.35,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
632,Inirida,CO,74.7,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
635,Campina Verde,BR,67.59,overcast clouds,-19.5356,-49.4864,Hotel Lino
636,Sembabule,UG,62.38,overcast clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
640,Sumbe,AO,72.66,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
642,Telde,ES,71.82,few clouds,27.9924,-15.4192,Hotel Rural Cortijo San Ignacio Golf
643,Jalu,LY,65.37,clear sky,29.0331,21.5482,صاحبة الفخامة
644,Pimentel,PE,62.1,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
649,Bastia,FR,63.3,clear sky,42.6667,9.3333,Hotel Santa Maria
653,Port Arthur,CN,66.42,clear sky,38.8,121.2667,Friendship Hotel
655,Santa Cruz Do Capibaribe,BR,68.02,clear sky,-7.9575,-36.2047,Etiqueta Hotel
656,Mahanoro,MG,64.74,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
657,Tucuman,AR,60.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
658,Kangaba,ML,71.67,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
659,Huambo,AO,60.84,broken clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
661,Mahon,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
667,Kemise,ET,65.86,overcast clouds,10.7167,39.8667,Hussen Endris
683,Lichtenburg,ZA,64.71,clear sky,-26.152,26.1597,Kennzy Guest House
684,Mandal,IN,72.09,overcast clouds,25.45,74.5667,Surpanch saab ki vatika
687,Barcelos,PT,64.92,scattered clouds,41.5388,-8.6151,Hotel Do Terço
690,Camabatela,AO,63.1,light rain,-8.1881,15.375,Comércio e Prestação de Serviços
691,Matay,EG,66.88,clear sky,28.419,30.7792,Nag Aespen
